,Tables,Count
544,513 127  -1  -1  -1  -1 466 316 711 711 711 638 343 343 343 792 792 792 166 811 209 759 481 ,3942
545,730 711 343 663 ,3939
546, -1 306 28 398 9 145 24 1 409 ,3936
547, -1 306 398 9 145 24 93 1 409 676 ,3936
548,505 164 401 502 651 ,3936
549, -1 511 638 70 759 759 ,3928
550,464 745 454 649 811 ,3924
551,277 277 277 746 542 466 316 638 543 649 811 512 ,3920
552,212 673 810 715 245  -1 649 237 811 811 209 190 ,3912
553,451  -1  -1 759 481 288 ,3912
554,184 277 277  -1 466 638 811 ,3912
555,649 811 759 ,3912
556, -1 511 811 ,3910
557,243 277 466 638 649 811 759 ,3900
558,127 146 763 ,3892
559,277 277 277 ,3892
560,277 466 811 759 ,3887
561,218 330 466 466 638 817 817 811 ,3885
562,496 513 99  -1 466 638 751 811 209 759 759 519 564 ,3879
563,285 129 215 714 804 533 716 371 429 525 466 638 343 811 644 ,3878
564,179 242 432 28 644 759 ,3875
565,466 638 166 380 649 759 759 ,3870
566,243 300 277 277 466 466 166 649 811 ,3857
567,99 174 174 588 234 199 564 ,3846
568,505 505 164 164 401 401 502 502 145 24 595 ,3844
569,451 277 277 277 277 811 209 759 759 759 132 199 564 ,3840
570,649 811 512 ,3832
571,366 714 371 308  -1 466 466 638 343 811 811 156 644 770 759 519 49 ,3825
572,366 716 127  -1  -1 466 638 811 811 156 303 644 167 759 342 ,3816
573,714 804 533 371 ,3812
574,730 638 200 663 ,3810
575,277 466 638 193 649 811 209 293 674 61 61  -1 45 ,3800
576, -1 393 393  -1  -1  -1 466 511 638 759 ,3796
577,212 428 726 466 638 649 759 ,3786
578,243 466 811 811 512 ,3786
579,218 466 638 817 649 233 811 ,3768
580,166 649 759 ,3768
581,638 543 620 649 811 382 ,3760
582,730  -1 638 166 578 380 649 811 759 ,3759
583,178  -1 638 649 811 759 ,3759
584,316 638 53 137 115 115 656 585 224 24 543 649 759 ,3753
585,178 466 316 638 502 649 811 185 ,3752
586,745 454 277 178  -1 638 620 649 811 ,3745
587,638 356 414 811 ,3744
588,178 638 543 649 811 ,3736
589,464 466 638 817 811 ,3735
590,178 466 638 181 261 649 811 512 ,3730
591,212 496 513 277  -1  -1 466 638 166 649 811 209 759 481 ,3726
592,127 178 316 638 648 261 505 166 543 543 543 543 620 649 474 185 759 759 759 678 ,3723
593,714 371 ,3718
594,277 811 759 ,3718
595,466 466 638 811 644 ,3712
596,730  -1 466 638  -1 278 630 811 663 759 759 481 ,3708
597,466 638 166 649 811 209 759 ,3708
598,490 728 ,3706
599,178 620 649 811 185 ,3704
600,466 466 638 166 649 811 759 ,3702
601,811 138 663 ,3700
602,186 186 186 573 721  -1  -1  -1  -1  -1  -1  -1 466 28 28 775 811 292 ,3689
603,5 440 ,3689
604,277 466 638 811 512 ,3688
605,277 132 607 ,3688
606, -1  -1  -1  -1  -1  -1  -1  -1 466 555 817 558 158 811 209 124 663 663 149 521 806 806 36 36 36 349 78 ,3682
607,466 638 649 811 209 149 521 150 ,3682
608,212 466 316 166 649 811 ,3670
609,277  -1 278 630 811 663 759 481 ,3666
